Enter Input Clock in MHZ
Enable boundary check? (y/n)
P	M	N	CLK
4 	 15 	 192 	 80.0 MHZ
4 	 15 	 193 	 80.41666666666667 MHZ
4 	 15 	 194 	 80.83333333333333 MHZ
4 	 15 	 195 	 81.25 MHZ
4 	 15 	 196 	 81.66666666666667 MHZ
4 	 15 	 197 	 82.08333333333333 MHZ
4 	 15 	 198 	 82.5 MHZ
4 	 15 	 199 	 82.91666666666667 MHZ
4 	 15 	 200 	 83.33333333333333 MHZ
4 	 15 	 201 	 83.75 MHZ
4 	 16 	 192 	 75.0 MHZ
4 	 16 	 193 	 75.390625 MHZ
4 	 16 	 194 	 75.78125 MHZ
4 	 16 	 195 	 76.171875 MHZ
4 	 16 	 196 	 76.5625 MHZ
4 	 16 	 197 	 76.953125 MHZ
4 	 16 	 198 	 77.34375 MHZ
4 	 16 	 199 	 77.734375 MHZ
4 	 16 	 200 	 78.125 MHZ
4 	 16 	 201 	 78.515625 MHZ
4 	 16 	 202 	 78.90625 MHZ
4 	 16 	 203 	 79.296875 MHZ
4 	 16 	 204 	 79.6875 MHZ
4 	 16 	 205 	 80.078125 MHZ
4 	 16 	 206 	 80.46875 MHZ
4 	 16 	 207 	 80.859375 MHZ
4 	 16 	 208 	 81.25 MHZ
4 	 16 	 209 	 81.640625 MHZ
4 	 16 	 210 	 82.03125 MHZ
4 	 16 	 211 	 82.421875 MHZ
4 	 16 	 212 	 82.8125 MHZ
4 	 16 	 213 	 83.203125 MHZ
4 	 16 	 214 	 83.59375 MHZ
4 	 16 	 215 	 83.984375 MHZ
4 	 17 	 192 	 70.58823529411765 MHZ
4 	 17 	 193 	 70.95588235294117 MHZ
4 	 17 	 194 	 71.32352941176471 MHZ
4 	 17 	 195 	 71.69117647058823 MHZ
4 	 17 	 196 	 72.05882352941177 MHZ
4 	 17 	 197 	 72.42647058823529 MHZ
4 	 17 	 198 	 72.79411764705883 MHZ
4 	 17 	 199 	 73.16176470588235 MHZ
4 	 17 	 200 	 73.52941176470588 MHZ
4 	 17 	 201 	 73.8970588235294 MHZ
4 	 17 	 202 	 74.26470588235294 MHZ
4 	 17 	 203 	 74.63235294117646 MHZ
4 	 17 	 204 	 75.0 MHZ
4 	 17 	 205 	 75.36764705882354 MHZ
4 	 17 	 206 	 75.73529411764706 MHZ
4 	 17 	 207 	 76.1029411764706 MHZ
4 	 17 	 208 	 76.47058823529412 MHZ
4 	 17 	 209 	 76.83823529411765 MHZ
4 	 17 	 210 	 77.20588235294117 MHZ
4 	 17 	 211 	 77.57352941176471 MHZ
4 	 17 	 212 	 77.94117647058823 MHZ
4 	 17 	 213 	 78.30882352941177 MHZ
4 	 17 	 214 	 78.67647058823529 MHZ
4 	 17 	 215 	 79.04411764705883 MHZ
4 	 17 	 216 	 79.41176470588235 MHZ
4 	 17 	 217 	 79.77941176470588 MHZ
4 	 17 	 218 	 80.1470588235294 MHZ
4 	 17 	 219 	 80.51470588235294 MHZ
4 	 17 	 220 	 80.88235294117646 MHZ
4 	 17 	 221 	 81.25 MHZ
4 	 17 	 222 	 81.61764705882354 MHZ
4 	 17 	 223 	 81.98529411764706 MHZ
4 	 17 	 224 	 82.3529411764706 MHZ
4 	 17 	 225 	 82.72058823529412 MHZ
4 	 17 	 226 	 83.08823529411765 MHZ
4 	 17 	 227 	 83.45588235294117 MHZ
4 	 17 	 228 	 83.82352941176471 MHZ
4 	 18 	 192 	 66.66666666666667 MHZ
4 	 18 	 193 	 67.01388888888889 MHZ
4 	 18 	 194 	 67.36111111111111 MHZ
4 	 18 	 195 	 67.70833333333333 MHZ
4 	 18 	 196 	 68.05555555555556 MHZ
4 	 18 	 197 	 68.40277777777777 MHZ
4 	 18 	 198 	 68.75 MHZ
4 	 18 	 199 	 69.09722222222223 MHZ
4 	 18 	 200 	 69.44444444444444 MHZ
4 	 18 	 201 	 69.79166666666667 MHZ
4 	 18 	 202 	 70.13888888888889 MHZ
4 	 18 	 203 	 70.48611111111111 MHZ
4 	 18 	 204 	 70.83333333333333 MHZ
4 	 18 	 205 	 71.18055555555556 MHZ
4 	 18 	 206 	 71.52777777777777 MHZ
4 	 18 	 207 	 71.875 MHZ
4 	 18 	 208 	 72.22222222222223 MHZ
